document,topic,score
9349,2,0.09663995
8366,2,0.09545207
13660,2,0.09543141
18473,2,0.09291417
4973,2,0.092203245
6445,2,0.09158048
9015,2,0.090440206
11178,2,0.09030681
9739,2,0.087139346
3452,2,0.0868467
15737,2,0.08669187
2689,2,0.08644349
1492,2,0.086318955
5748,2,0.08557195
16511,2,0.08516155
544,2,0.08376458
13646,2,0.08358142
5906,2,0.08248359
5231,2,0.08187864
8141,2,0.08128329
13969,2,0.08009698
4774,2,0.07744156
4197,2,0.0768385
13619,2,0.07500936
12254,2,0.07354017
3282,2,0.066292144
8491,3,0.38898703
6873,3,0.33615512
7024,3,0.31620327
5409,3,0.30212364
13528,3,0.2762534
17219,3,0.27108136
13150,3,0.27067316
15179,3,0.26924744
7504,3,0.26337186
6540,3,0.24197258
13939,3,0.24115239
14367,3,0.23786266
13488,3,0.23577917
11921,3,0.22076455
11488,3,0.22023633
8195,3,0.21844308
10857,3,0.21029893
6405,3,0.1987778
18211,3,0.19525239
16645,3,0.19475003
13437,3,0.18738714
686,3,0.18641584
13884,3,0.18399556
622,3,0.18280564
8040,3,0.18071876
3554,3,0.1798469
10551,3,0.17870842
5288,3,0.17843843
6023,3,0.17818515
16606,3,0.17552629
13762,3,0.17483291
4031,3,0.17444184
14286,3,0.173354
9829,3,0.17316966
18047,3,0.17217313
11849,3,0.16958894
6185,3,0.16949445
9428,3,0.16864584
5333,3,0.16839185
2988,3,0.16682734
8194,3,0.16516428
17658,3,0.16472141
14194,3,0.16309606
408,3,0.16124487
8656,3,0.16115825
6416,3,0.16070889
7595,3,0.16039751
157,3,0.15969497
2465,3,0.15969199
7926,3,0.15799266
739,3,0.15796325
16707,3,0.15796159
11759,3,0.15778616
13789,3,0.15622042
12165,3,0.15616712
14581,3,0.15593752
11794,3,0.15585047
16172,3,0.15549763
11136,3,0.15490754
18355,3,0.15464798
18398,3,0.15399459
9743,3,0.15399137
17234,3,0.15362369
4857,3,0.15323012
5442,3,0.152872
9850,3,0.15262073
15385,3,0.15254769
9922,3,0.15249716
13826,3,0.15210104
15642,3,0.15208562
10931,3,0.15185411
4085,3,0.15134859
13389,3,0.15126611
262,3,0.1512081
14352,3,0.15004978
4240,3,0.14999661
71,3,0.14994821
12903,3,0.14994359
804,3,0.1498807
18773,3,0.14967525
17470,3,0.14953917
3921,3,0.14872797
16557,3,0.14856619
12266,3,0.14844607
2982,3,0.14833331
1691,3,0.14833128
6171,3,0.1480313
16533,3,0.14800893
10623,3,0.14778367
6750,3,0.14751571
6626,3,0.14740957
2561,3,0.14705518
14007,3,0.14680494
10065,3,0.14641511
12470,3,0.1463644
4630,3,0.14630781
5245,3,0.14551167
13964,3,0.14550114
13932,3,0.14549881
5494,3,0.14515106
16406,3,0.14510408
5751,3,0.14486888
164,3,0.14465989
11040,3,0.14460506
4643,3,0.1441624
1067,3,0.14397033
14081,3,0.14370239
3281,3,0.14369878
14888,3,0.14369208
7929,3,0.1436849
12974,3,0.14355952
3204,3,0.14323044
8048,3,0.14320214
5035,3,0.14316294
17392,3,0.14310566
1909,3,0.14297295
18004,3,0.14280124
11277,3,0.1425325
12214,3,0.14244203
12219,3,0.14134905
14963,3,0.14117491
9066,3,0.14116132
4697,3,0.14112443
1767,3,0.14099123
12249,3,0.14077681
1289,3,0.14070074
7603,3,0.14046825
15218,3,0.1404065
5050,3,0.14021702
13866,3,0.13979056
16242,3,0.13978937
13511,3,0.13974896
10381,3,0.13959554
10125,3,0.13945475
2454,3,0.139407
8231,3,0.13918787
8114,3,0.13918093
2521,3,0.13902621
1276,3,0.13885891
2258,3,0.13884751
657,3,0.13854565
2398,3,0.13839373
14285,3,0.13837542
3414,3,0.13786373
14890,3,0.13780461
